date,time,close,ema20,ema50,px_vs_ema20,px_vs_ema50,ema20_vs_50,rsi14,atr14,sofar_range,sofar_path,sofar_eff,vs_day_open
2026-05-19,09:30,7363.7,,,,,,,,14.88,0.0,,-12.05
2026-05-19,09:35,7374.1,,,,,,,,19.69,10.4,0.159,-1.65
2026-05-19,09:40,7353.78,,,,,,,,23.12,30.72,0.715,-21.97
2026-05-19,09:45,7364.95,,,,,,,,26.66,41.89,0.258,-10.8
2026-05-19,09:50,7377.16,,,,,,,,29.31,54.1,0.026,1.41
2026-05-19,09:55,7371.82,,,,,,,,32.14,59.44,0.066,-3.93
2026-05-19,10:00,7369.02,,,,,,,,32.14,62.24,0.108,-6.73
2026-05-19,10:05,7351.39,,,,,,,,35.18,79.87,0.305,-24.36
2026-05-19,10:10,7347.57,,,,,,,,35.38,83.69,0.337,-28.18
2026-05-19,10:15,7343.06,,,,,,,,39.98,88.2,0.371,-32.69
2026-05-19,10:20,7344.93,,,,,,,,46.59,90.07,0.342,-30.82
2026-05-19,10:25,7341.48,,,,,,,,46.59,93.52,0.366,-34.27
2026-05-19,10:30,7340.24,,,,,,,,46.59,94.76,0.375,-35.51
2026-05-19,10:35,7348.12,,,,,,,,46.59,102.64,0.269,-27.63
2026-05-19,10:40,7345.2,,,,,,41.24,14.062,46.59,105.56,0.289,-30.55
2026-05-19,10:45,7337.6,,,,,,38.27,14.051,47.96,113.16,0.337,-38.15
2026-05-19,10:50,7337.43,,,,,,38.2,13.561,47.96,113.33,0.338,-38.32
2026-05-19,10:55,7349.32,,,,,,45.33,13.496,47.96,125.22,0.211,-26.43
2026-05-19,11:00,7352.37,,,,,,47.02,13.078,47.96,128.27,0.182,-23.38
2026-05-19,11:05,7350.52,7353.19,,-2.67,,,46.09,12.712,47.96,130.12,0.194,-25.23
2026-05-19,11:10,7353.85,7353.25,,0.6,,,48.08,12.158,47.96,133.45,0.164,-21.9
2026-05-19,11:15,7349.02,7352.85,,-3.83,,,45.46,11.939,47.96,138.28,0.193,-26.73
2026-05-19,11:20,7338.55,7351.49,,-12.94,,,40.33,11.935,47.96,148.75,0.25,-37.2
2026-05-19,11:25,7341.46,7350.53,,-9.07,,,42.28,11.699,47.96,151.66,0.226,-34.29
2026-05-19,11:30,7346.2,7350.12,,-3.92,,,45.41,11.674,47.96,156.4,0.189,-29.55
2026-05-19,11:35,7352.69,7350.36,,2.33,,,49.45,11.618,47.96,162.89,0.142,-23.06
2026-05-19,11:40,7354.43,7350.75,,3.68,,,50.51,11.281,47.96,164.63,0.13,-21.32
2026-05-19,11:45,7357.0,7351.35,,5.65,,,52.1,10.932,47.96,167.2,0.112,-18.75
2026-05-19,11:50,7352.25,7351.43,,0.82,,,48.96,10.68,47.96,171.95,0.137,-23.5
2026-05-19,11:55,7347.69,7351.08,,-3.39,,,46.09,10.48,47.96,176.51,0.159,-28.06
2026-05-19,12:00,7354.76,7351.43,,3.33,,,50.9,10.46,47.96,183.58,0.114,-20.99
2026-05-19,12:05,7345.63,7350.87,,-5.24,,,45.28,10.456,47.96,192.71,0.156,-30.12
2026-05-19,12:10,7346.2,7350.43,,-4.23,,,45.68,10.081,47.96,193.28,0.153,-29.55
2026-05-19,12:15,7355.29,7350.89,,4.4,,,51.78,10.066,47.96,202.37,0.101,-20.46
2026-05-19,12:20,7359.06,7351.67,,7.39,,,54.08,9.809,47.96,206.14,0.081,-16.69
2026-05-19,12:25,7363.72,7352.82,,10.9,,,56.83,9.608,47.96,210.8,0.057,-12.03
2026-05-19,12:30,7367.66,7354.23,,13.43,,,59.06,9.451,47.96,214.74,0.038,-8.09
2026-05-19,12:35,7369.01,7355.64,,13.37,,,59.82,9.243,47.96,216.09,0.031,-6.74
2026-05-19,12:40,7372.78,7357.27,,15.51,,,61.96,8.871,47.96,219.86,0.014,-2.97
2026-05-19,12:45,7373.91,7358.86,,15.05,,,62.6,8.486,47.96,220.99,0.008,-1.84
2026-05-19,12:50,7379.31,7360.8,,18.51,,,65.59,8.442,47.96,226.39,0.016,3.56
2026-05-19,12:55,7380.55,7362.68,,17.87,,,66.26,8.103,48.26,227.63,0.021,4.8
2026-05-19,13:00,7385.38,7364.85,,20.53,,,68.8,8.041,52.36,232.46,0.041,9.63
2026-05-19,13:05,7385.13,7366.78,,18.35,,,68.51,7.703,52.46,232.71,0.04,9.38
2026-05-19,13:10,7387.62,7368.76,,18.86,,,69.86,7.478,55.42,235.2,0.05,11.87
2026-05-19,13:15,7391.61,7370.94,,20.67,,,71.94,7.363,59.75,239.19,0.066,15.86
2026-05-19,13:20,7394.29,7373.16,,21.13,,,73.27,7.188,61.64,241.87,0.077,18.54
2026-05-19,13:25,7388.81,7374.65,,14.16,,,66.34,7.308,61.64,247.35,0.053,13.06
2026-05-19,13:30,7387.56,7375.88,,11.68,,,64.83,7.287,61.64,248.6,0.048,11.81
2026-05-19,13:35,7390.88,7377.31,7360.72,13.57,30.16,16.59,66.97,7.088,61.64,251.92,0.06,15.13
2026-05-19,13:40,7390.43,7378.56,7361.89,11.87,28.54,16.67,66.38,6.835,61.64,252.37,0.058,14.68
2026-05-19,13:45,7385.8,7379.25,7362.82,6.55,22.98,16.43,60.47,6.991,61.64,257.0,0.039,10.05
2026-05-19,13:50,7383.53,7379.66,7363.64,3.87,19.89,16.02,57.75,7.018,61.64,259.27,0.03,7.78
2026-05-19,13:55,7386.8,7380.34,7364.54,6.46,22.26,15.79,60.51,6.824,61.64,262.54,0.042,11.05
2026-05-19,14:00,7388.2,7381.09,7365.47,7.11,22.73,15.61,61.66,6.633,61.64,263.94,0.047,12.45
2026-05-19,14:05,7390.41,7381.97,7366.45,8.44,23.96,15.52,63.47,6.48,61.64,266.15,0.055,14.66
2026-05-19,14:10,7388.51,7382.6,7367.32,5.91,21.19,15.28,60.81,6.233,61.64,268.05,0.048,12.76
2026-05-19,14:15,7386.6,7382.98,7368.07,3.62,18.53,14.91,58.17,6.159,61.64,269.96,0.04,10.85
2026-05-19,14:20,7381.42,7382.83,7368.59,-1.41,12.83,14.23,51.63,6.334,61.64,275.14,0.021,5.67
2026-05-19,14:25,7377.67,7382.34,7368.95,-4.67,8.72,13.39,47.47,6.46,61.64,278.89,0.007,1.92
2026-05-19,14:30,7379.43,7382.06,7369.36,-2.63,10.07,12.7,49.52,6.407,61.64,280.65,0.013,3.68
2026-05-19,14:35,7375.77,7381.46,7369.61,-5.69,6.16,11.85,45.53,6.471,61.64,284.31,0.0,0.02
2026-05-19,14:40,7377.2,7381.06,7369.91,-3.86,7.29,11.15,47.32,6.273,61.64,285.74,0.005,1.45
2026-05-19,14:45,7376.15,7380.59,7370.16,-4.44,5.99,10.43,46.12,6.17,61.64,286.79,0.001,0.4
2026-05-19,14:50,7367.76,7379.37,7370.06,-11.61,-2.3,9.31,37.88,6.329,61.64,295.18,0.027,-7.99
2026-05-19,14:55,7363.53,7377.86,7369.81,-14.33,-6.28,8.05,34.53,6.293,61.64,299.41,0.041,-12.22
2026-05-19,15:00,7364.05,7376.54,7369.58,-12.49,-5.53,6.96,35.29,6.18,61.64,299.93,0.039,-11.7
2026-05-19,15:05,7371.31,7376.05,7369.65,-4.74,1.66,6.4,44.88,6.422,61.64,307.19,0.014,-4.44
2026-05-19,15:10,7378.28,7376.26,7369.99,2.02,8.29,6.27,52.2,6.499,61.64,314.16,0.008,2.53
2026-05-19,15:15,7372.1,7375.86,7370.07,-3.76,2.03,5.79,46.32,6.57,61.64,320.34,0.011,-3.65
2026-05-19,15:20,7360.59,7374.41,7369.7,-13.82,-9.11,4.71,37.79,6.97,61.64,331.85,0.046,-15.16
2026-05-19,15:25,7365.78,7373.59,7369.54,-7.81,-3.76,4.04,42.9,7.122,61.64,337.04,0.03,-9.97
2026-05-19,15:30,7361.72,7372.46,7369.24,-10.74,-7.52,3.22,40.12,7.117,61.64,341.1,0.041,-14.03
2026-05-19,15:35,7360.56,7371.32,7368.9,-10.76,-8.34,2.43,39.34,6.917,61.64,342.26,0.044,-15.19
2026-05-19,15:40,7357.28,7369.99,7368.44,-12.71,-11.16,1.54,37.13,6.721,61.64,345.54,0.053,-18.47
