# SPX 0DTE gamma exposure by strike — Option Alpha `a5.to.market.gex('SPX')`
# captured 2026-08-13 ~20:48 ET (post-close snapshot; spot 7798.99, prev close 7748.50)
# cg/pg = call/put gamma exposure $; total=cg+pg; abs=|cg|+|pg|; coi/poi = open interest; cvol/pvol = volume
# summary: callsum=77816567557.31 putsum=-6223408889.49 abs1=7800 abs2=7805 absscore=1.79
# NOTE gamma is non-zero only near spot — that is the 0DTE expiry gamma spike, not a data error.
# strikes below 7000 omitted (all zero gamma, negligible OI).
strike,cg,pg,total,net,abs,coi,poi,cvol,pvol,pcmag,cotm,potm
7000,0,0,0,0,0,0,988,,,100,-10.24,10.24
7010,0,0,0,0,0,0,2460,,,100,-10.12,10.12
7025,0,0,0,0,0,1,219,,,100,-9.92,9.92
7050,0,0,0,0,0,10,442,,,100,-9.6,9.6
7075,0,0,0,0,0,15,202,15,,100,-9.28,9.28
7100,0,0,0,0,0,0,300,,,100,-8.96,8.96
7125,0,0,0,0,0,0,371,,,100,-8.64,8.64
7150,0,0,0,0,0,1,1080,,1023,100,-8.32,8.32
7175,0,0,0,0,0,0,103,,,100,-8,8
7200,0,0,0,0,0,1,570,1,,100,-7.68,7.68
7225,0,0,0,0,0,2,403,,3,100,-7.36,7.36
7235,0,0,0,0,0,0,1934,,3,100,-7.23,7.23
7240,0,0,0,0,0,0,830,,127,100,-7.17,7.17
7250,0,0,0,0,0,3,498,1,4,100,-7.04,7.04
7275,0,0,0,0,0,2,318,,,100,-6.72,6.72
7300,0,0,0,0,0,16,360,1,36,100,-6.4,6.4
7310,0,0,0,0,0,4,2034,,1,100,-6.27,6.27
7320,0,0,0,0,0,10,234,2,56,100,-6.14,6.14
7325,0,0,0,0,0,12,131,,,100,-6.08,6.08
7350,0,0,0,0,0,138,1206,3,1,100,-5.76,5.76
7355,0,0,0,0,0,16,721,9,23,100,-5.69,5.69
7360,0,0,0,0,0,392,366,385,18,100,-5.63,5.63
7365,0,0,0,0,0,23,3184,10,436,100,-5.56,5.56
7375,0,0,0,0,0,25,1281,,23,100,-5.44,5.44
7380,0,0,0,0,0,27,215,5,304,100,-5.37,5.37
7390,0,0,0,0,0,16,238,2,270,100,-5.24,5.24
7400,0,0,0,0,0,255,1084,13,944,100,-5.12,5.12
