# spot=7641.16 net0dte=0 peak=1400.0 flip=None
strike,cg,pg,total,coi,poi,cvol,pvol
7490.0,0,0,0,177,2040,0,0
7495.0,0,0,0,83,1345,0,0
7500.0,0,0,0,1549,8388,0,0
7505.0,0,0,0,160,1227,0,0
7510.0,0,0,0,276,2728,0,0
7515.0,0,0,0,116,14051,0,0
7520.0,0,0,0,636,14343,0,0
7525.0,0,0,0,622,3175,0,0
7530.0,0,0,0,631,2489,0,0
7535.0,0,0,0,609,2060,0,0
7540.0,0,0,0,241,1633,0,0
7545.0,0,0,0,1015,2018,0,0
7550.0,0,0,0,2065,5715,0,0
7555.0,0,0,0,550,1410,0,0
7560.0,0,0,0,608,1966,0,0
7565.0,0,0,0,145,1828,0,0
7570.0,0,0,0,284,1500,0,0
7575.0,0,0,0,1646,1841,0,0
7580.0,0,0,0,1359,2203,0,0
7585.0,0,0,0,314,1414,0,0
7590.0,0,0,0,327,5069,0,0
7595.0,0,0,0,184,1675,0,0
7600.0,0,0,0,1940,7126,0,0
7605.0,0,0,0,263,1844,0,0
7610.0,0,0,0,423,2272,0,0
7615.0,0,0,0,279,1428,0,0
7620.0,0,0,0,544,2919,0,0
7625.0,0,0,0,692,3071,0,0
7630.0,0,0,0,351,2184,0,0
7635.0,0,0,0,612,2060,0,0
7640.0,0,0,0,679,6643,0,0
7645.0,0,0,0,425,1972,0,0
7650.0,0,0,0,1528,3444,0,0
7655.0,0,0,0,705,1433,0,0
7660.0,0,0,0,1554,1346,0,0
7665.0,0,0,0,965,2802,0,0
7670.0,0,0,0,976,1623,0,0
7675.0,0,0,0,1284,2161,0,0
7680.0,0,0,0,1741,1521,0,0
7685.0,0,0,0,2194,4003,0,0
7690.0,0,0,0,2301,1257,0,0
7695.0,0,0,0,1534,1764,0,0
7700.0,0,0,0,8404,5589,0,0
7705.0,0,0,0,1364,1283,0,0
7710.0,0,0,0,1929,990,0,0
7715.0,0,0,0,1908,763,0,0
7720.0,0,0,0,3159,871,0,0
7725.0,0,0,0,2422,1444,0,0
7730.0,0,0,0,3093,885,0,0
7735.0,0,0,0,2720,535,0,0
7740.0,0,0,0,1683,492,0,0
7745.0,0,0,0,1544,925,0,0
7750.0,0,0,0,5025,2644,0,0
7755.0,0,0,0,1388,590,0,0
7760.0,0,0,0,1957,803,0,0
7765.0,0,0,0,1431,386,0,0
7770.0,0,0,0,2220,610,0,0
7775.0,0,0,0,3706,948,0,0
7780.0,0,0,0,3086,1068,0,0
7785.0,0,0,0,2538,562,0,0
7790.0,0,0,0,2013,536,0,0
