# spot=7683.26 net0dte=12084739928 peak=7680.0 flip=7685.0
strike,cg,pg,total,coi,poi,cvol,pvol
7530.0,3412077,-10177200,-6765122,578,1724,464,1629
7535.0,0,-7438093,-7438093,0,1260,0,1408
7540.0,796938,-4740308,-3943370,135,803,87,1091
7545.0,35419,-8081547,-8046127,6,1369,4,1594
7550.0,472260,-24705093,-24232834,80,4185,21,6852
7555.0,76742,-4374307,-4297565,13,741,2,5644
7560.0,525389,-16198513,-15673124,89,2744,8,4726
7565.0,366001,-22774731,-22408730,31,1929,127,4175
7570.0,8181902,-16292965,-8111063,693,1380,32,5266
7575.0,1464006,-24108865,-22644860,124,2042,18,4932
7580.0,3034270,-25997905,-22963635,257,2202,32,6759
7585.0,1298715,-19268202,-17969487,110,1632,106,4438
7590.0,554905,-15808898,-15253993,47,1339,30,6772
7595.0,1741458,-75886255,-74144796,59,2571,34,5740
7600.0,11405075,-162646292,-151241217,322,4592,181,11647
7605.0,1983491,-43530552,-41547060,56,1229,56,10787
7610.0,4628147,-65331247,-60703100,112,1581,57,12031
7615.0,2739107,-64274565,-61535458,58,1361,295,17049
7620.0,39687537,-149133757,-109446220,747,2807,892,24191
7625.0,67178964,-167947409,-100768445,1138,2845,1026,22615
7630.0,26352100,-147486751,-121134651,372,2082,1010,29813
7635.0,28689786,-223249037,-194559251,270,2101,899,37533
7640.0,33347449,-161406610,-128059161,269,1302,2180,50124
7645.0,27302523,-178573255,-151270733,185,1210,2284,50050
7650.0,737858788,-1004307795,-266449007,4032,5488,7918,87623
7655.0,183526081,-1135678679,-952152598,723,4474,9669,83181
7660.0,215728299,-1006857999,-791129699,571,2665,26812,122931
7665.0,450016410,-820834844,-370818434,733,1337,46933,125669
7670.0,2656072038,-2512233494,143838544,2542,2418,100566,146125
7675.0,4380210102,-4233290063,146920039,2650,2552,141632,105050
7680.0,8830881373,-5668411002,3162470371,3968,2547,187077,64187
7685.0,3558950224,-1167426347,2391523877,1570,515,147109,33921
7690.0,3985495320,-949100619,3036394701,2192,522,104491,12652
7695.0,1389719058,-342010583,1047708476,1154,284,73469,4358
7700.0,3509953264,-1480841596,2029111668,4795,2023,84144,11979
7705.0,925971693,-171288647,754683046,2011,372,41221,2515
7710.0,774346765,-112811071,661535694,2677,390,39375,1261
7715.0,844099545,-49870640,794228905,4333,256,25777,611
7720.0,307795357,-32822060,274973297,2607,278,25866,511
7725.0,468759223,-52084358,416674865,4671,519,25096,189
7730.0,273804454,-26281261,247523193,3313,318,12247,243
7735.0,124605761,-9704940,114900821,1759,137,8058,179
7740.0,68288774,-6269249,62019525,1928,177,8226,126
7745.0,52155197,-4722598,47432599,1767,160,7324,71
7750.0,96742430,-55089111,41653319,4097,2333,6281,720
7755.0,65809410,-2266847,63542563,2787,96,3208,47
7760.0,36800849,-2674171,34126677,2078,151,4845,92
7765.0,18400424,-2497074,15903350,1039,141,2654,30
7770.0,35277811,-2780430,32497381,1992,157,4510,79
7775.0,50142189,-1275102,48867088,4247,108,4003,74
7780.0,19315428,-838261,18477167,1636,71,4442,66
7785.0,29728758,-1345941,28382817,2518,114,2194,40
7790.0,27202167,-944520,26257648,2304,80,3072,34
7795.0,48017020,-413227,47603793,4067,35,2202,4
7800.0,67887353,-3801692,64085662,5750,322,3657,85
7805.0,12337789,-814648,11523140,1045,69,1249,10
7810.0,7443996,-230227,7213769,1261,39,2300,10
7815.0,31665023,-247936,31417086,5364,42,2167,0
7820.0,9327132,-141678,9185454,1580,24,3772,0
7825.0,10023715,-306969,9716746,1698,52,2278,16
7830.0,7284608,-708390,6576218,1234,120,420,24
7835.0,9203164,-64936,9138228,1559,11,405,0
