# spot=7640.89 net0dte=-24657859084 peak=7630.0 flip=7405.0
strike,cg,pg,total,coi,poi,cvol,pvol
7490.0,443712,-34352676,-33908963,38,2942,2,1997
7495.0,81736,-13136220,-13054484,7,1125,0,2220
7500.0,910778,-110344251,-109433473,52,6300,28,2585
7505.0,1191017,-18238912,-17047895,51,781,14,3069
7510.0,1891616,-15763464,-13871849,81,675,13,2227
7515.0,18262265,-124169393,-105907128,782,5317,6,2250
7520.0,256886,-27533518,-27276632,11,1179,48,2040
7525.0,3829938,-312233362,-308403424,164,13370,71,2053
7530.0,204341,-51873475,-51669133,7,1777,32,2438
7535.0,58383,-105323296,-105264912,2,3608,15,1722
7540.0,140120,-60846973,-60706853,4,1737,20,2027
7545.0,0,-44382910,-44382910,0,1267,27,4022
7550.0,1588023,-221809459,-220221436,34,4749,94,5072
7555.0,105090,-84912528,-84807439,2,1616,21,4571
7560.0,758982,-76832293,-76073312,13,1316,31,7226
7565.0,758982,-84422109,-83663128,13,1446,182,7817
7570.0,1214371,-145496777,-144282406,16,1917,112,11141
7575.0,17514960,-360370311,-342855351,200,4115,136,12211
7580.0,2206885,-278067512,-275860627,21,2646,354,16533
7585.0,1471257,-186726993,-185255737,12,1523,408,24403
7590.0,8804187,-325451319,-316647132,58,2144,924,31297
7595.0,5978440,-489934312,-483955872,32,2707,1219,37071
7600.0,250347168,-1202927484,-952580316,1072,5151,2321,61412
7605.0,28158218,-332328860,-304170642,91,1074,1364,36204
7610.0,22559269,-598684702,-576125433,56,1508,2650,48530
7615.0,16814362,-688337946,-671523584,32,1310,3255,54565
7620.0,182383283,-2640800648,-2458417365,267,3866,6840,70366
7625.0,1359668865,-3587507614,-2227838748,1563,4124,14145,70660
7630.0,254597465,-5523798169,-5269200704,237,5142,26420,82280
7635.0,1720109236,-2732754190,-1012644954,1364,2167,36158,57701
7640.0,1793345124,-2286379585,-493034460,1324,1688,49924,59892
7645.0,296808520,-1545543464,-1248734944,222,1156,47403,45607
7650.0,1567991805,-3815091172,-2247099367,1323,3219,86873,59851
7655.0,181104691,-1896782643,-1715677951,188,1969,67128,27893
7660.0,149858002,-1350893870,-1201035868,207,1866,77538,12875
7665.0,143412496,-854759262,-711346766,276,1645,62053,7245
7670.0,332924368,-528718273,-195793905,891,1415,53957,5490
7675.0,323793236,-1278708880,-954915644,1180,4660,48863,5797
7680.0,225797032,-411134505,-185337473,1105,2012,40188,3243
7685.0,180806937,-244806602,-63999666,1147,1553,29215,1416
7690.0,161604702,-119685563,41919139,1384,1025,27251,1247
7695.0,236136697,-432339284,-196202587,2247,4114,19929,2255
7700.0,230350922,-227542690,2808232,3035,2998,36711,1269
7705.0,88835879,-45188598,43647281,1268,645,20880,286
7710.0,113088261,-29191601,83896661,1937,500,11657,410
7715.0,65797868,-13077837,52720031,1610,320,6648,236
7720.0,96332283,-22454179,73878103,2750,641,8497,289
7725.0,87294563,-26517650,60776913,2492,757,6372,183
7730.0,163560539,-12435622,151124917,5603,426,4263,257
7735.0,94113721,-4670656,89443065,3224,160,4362,98
7740.0,62049667,-4717363,57332304,2657,202,4484,49
7745.0,44137700,-4927542,39210158,1890,211,3153,82
7750.0,101796950,-25408369,76388581,4359,1088,6009,325
7755.0,48131111,-6071853,42059258,2061,260,2531,77
7760.0,46870034,-1821556,45048478,2676,104,2439,34
7765.0,24736962,-788173,23948789,4237,135,3532,44
7770.0,14969453,-648054,14321399,2564,111,5469,41
7775.0,19254780,-747305,18507475,3298,128,5141,31
7780.0,22740257,-916616,21823641,3895,157,3473,68
7785.0,6439667,-928293,5511374,1103,159,638,14
7790.0,4717363,-280239,4437123,808,48,1463,12
