date,time,spot,net,callsum,putsum,net_all_expiries,peak_strike,call_wall,put_wall,gamma_flip,spot_minus_peak,spot_minus_flip,coi,poi,cvol,pvol,n_strikes
2026-08-13,21:55,7798.99,197682966833,203425621314,-5742654481,321553500627,7800.0,7800.0,7795.0,7780.0,-1.01,18.99,142418,177588,1653989,1397094,267
2026-08-18,10:57,7707.04,-22298356227,5397241573,-27695597801,-1809009968,7700.0,7730.0,7700.0,7415.0,7.04,292.04,105932,164416,332084,364489,271
2026-08-18,12:30,7706.73,-24288905874,4920499721,-29209405594,-5711172243,7700.0,7730.0,7700.0,7475.0,6.73,231.73,105932,164416,582657,636509,271
2026-08-18,12:45,7701.97,-24833821758,4435399989,-29269221747,-9461695866,7700.0,7730.0,7700.0,7475.0,1.97,226.97,105932,164416,612517,669475,271
2026-08-18,13:00,7702.98,-25214797013,4554950099,-29769747112,-9334996872,7700.0,7730.0,7700.0,7475.0,2.98,227.98,105932,164416,638369,698948,271
2026-08-18,13:15,7706.7,-25239371982,4889434646,-30128806628,-7164622908,7700.0,7730.0,7700.0,7485.0,6.7,221.7,105932,164416,668285,731244,271
2026-08-18,13:30,7706.29,-25863193350,4695734500,-30558927850,-7824664271,7700.0,7730.0,7700.0,7485.0,6.29,221.29,105932,164416,694684,761197,271
2026-08-18,13:45,7701.97,-26705722700,4253482287,-30959204987,-11694086544,7700.0,7705.0,7700.0,7480.0,1.97,221.97,105932,164416,726520,796035,271
2026-08-18,14:00,7701.14,-27132733709,4246397490,-31379131199,-12654358938,7700.0,7705.0,7700.0,7480.0,1.14,221.14,105932,164416,755465,827643,271
2026-08-18,14:15,7697.22,-26918976628,3855369269,-30774345897,-14946551531,7700.0,7700.0,7695.0,7475.0,-2.78,222.22,105932,164416,780906,871060,271
2026-08-18,14:30,7700.33,-27069907455,4086765403,-31156672857,-13112852780,7700.0,7705.0,7700.0,7480.0,0.33,220.33,105932,164416,823780,926941,271
2026-08-18,14:45,7703.55,-27147318598,4211033180,-31358351778,-11503432023,7700.0,7705.0,7700.0,7485.0,3.55,218.55,105932,164416,869948,977205,271
2026-08-18,15:00,7700.83,-28059652013,4122178044,-32181830057,-13782838806,7700.0,7705.0,7700.0,7480.0,0.83,220.83,105932,164416,895662,1009592,271
2026-08-18,15:15,7697.18,-27527259976,3805876076,-31333136053,-16145049356,7700.0,7700.0,7695.0,7475.0,-2.82,222.18,105932,164416,924609,1054798,271
2026-08-18,15:30,7695.98,-27930246348,3735285792,-31665532140,-17735045564,7700.0,7700.0,7695.0,7475.0,-4.02,220.98,105932,164416,961989,1093388,271
2026-08-18,15:45,7700.68,-29334207747,4331840438,-33666048185,-16282926196,7700.0,7705.0,7700.0,7480.0,0.68,220.68,105932,164416,995311,1130710,271
2026-08-18,16:00,7698.79,-30057523981,4346742786,-34404266767,-17805403289,7700.0,7700.0,7695.0,7480.0,-1.21,218.79,105932,164416,1030423,1172340,271
2026-08-19,10:00,7722.21,-3247760370,23503421186,-26751181556,39842435499,7720.0,7725.0,7720.0,7425.0,2.21,297.21,122434,233847,98197,84776,271
2026-08-19,10:15,7720.86,-3752298774,23120496456,-26872795231,38409407429,7720.0,7725.0,7720.0,7420.0,0.86,300.86,122434,233847,185899,201851,271
2026-08-19,10:30,7710.15,-7324338857,20729177690,-28053516547,25974003793,7720.0,7725.0,7700.0,7405.0,-9.85,305.15,122434,233847,238502,259480,271
2026-08-19,10:45,7719.58,-4009379926,24193305207,-28202685133,36796900289,7720.0,7725.0,7700.0,7430.0,-0.42,289.58,122434,233847,292610,312885,271
2026-08-19,11:00,7729.18,-183575742,27057328351,-27240904093,49773579372,7720.0,7750.0,7720.0,7450.0,9.18,279.18,122434,233847,366556,381663,271
2026-08-19,11:15,7740.99,4685889177,29318311838,-24632422661,63965647677,7720.0,7750.0,7720.0,7770.0,20.99,-29.01,122434,233847,425083,438930,271
2026-08-19,11:30,7737.61,3260684971,29473940585,-26213255614,60530674419,7720.0,7750.0,7720.0,7770.0,17.61,-32.39,122434,233847,488114,496056,271
2026-08-19,11:45,7731.02,92689254,28591616482,-28498927228,51103677388,7720.0,7750.0,7720.0,7910.0,11.02,-178.98,122434,233847,532901,541141,271
2026-08-19,12:00,7723.76,-3002843982,26501668898,-29504512880,41529090785,7720.0,7725.0,7720.0,7470.0,3.76,253.76,122434,233847,583558,604267,271
2026-08-19,12:15,7725.4,-2144588027,28120931909,-30265519936,44292665539,7720.0,7730.0,7720.0,7465.0,5.4,260.4,122434,233847,628468,643327,271
2026-08-19,12:30,7735.71,1998828038,30137995747,-28139167709,56801323649,7720.0,7750.0,7720.0,7775.0,15.71,-39.29,122434,233847,681050,689122,271
2026-08-19,13:00,7724.46,-2497177198,28369352338,-30866529536,42812778660,7720.0,7725.0,7720.0,7505.0,4.46,219.46,122434,233847,757256,782646,271
2026-08-19,13:15,7716.76,-5951110452,24757888815,-30708999268,31454288950,7720.0,7725.0,7700.0,7495.0,-3.24,221.76,122434,233847,801444,835952,271
2026-08-19,13:30,7718.3,-4541596180,27052518358,-31594114537,35269591202,7720.0,7725.0,7700.0,7500.0,-1.7,218.3,122434,233847,842120,879767,271
2026-08-19,13:45,7715.76,-5431202870,26079807461,-31511010332,31695288623,7720.0,7725.0,7700.0,7495.0,-4.24,220.76,122434,233847,883608,932648,271
